cityweather.csv,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,57.79,-152.4072,35.6,55,1,7.2,1611978482
1,5.4112,100.3354,86.0,61,20,3.6,1611977851
2,24.4125,-106.6908,62.99600000000005,87,1,1.09,1611978482
3,-23.1203,-134.9692,80.18600000000006,72,24,4.39,1611977983
4,-3.6667,152.4333,84.21800000000009,76,70,6.28,1611978094
5,64.1835,-51.7216,23.0,93,0,4.63,1611978483
6,-33.0153,27.9116,69.74600000000005,72,38,1.53,1611977992
7,-20.5831,-46.9219,69.99800000000002,80,100,0.42,1611978484
8,5.2737,-74.1961,51.8,82,20,3.09,1611978485
9,42.6001,-73.9662,8.996000000000048,50,6,2.68,1611978485
10,-46.2817,169.8464,57.992,70,19,4.47,1611978099
11,-21.2,-175.2,80.6,89,90,6.69,1611977981
12,-54.8,-68.3,42.8,75,40,7.72,1611977781
13,-20.5167,57.5167,78.80000000000001,89,40,3.6,1611978050
14,0.0644,32.4469,70.89800000000002,74,85,0.5,1611978372
15,27.181,31.1837,42.8,65,0,1.04,1611978487
16,22.0752,-159.319,75.2,78,40,7.2,1611977854
17,-42.8794,147.3294,69.80000000000001,64,75,4.63,1611977992
18,50.6789,156.125,24.691999999999997,91,100,8.03,1611978487
19,46.3592,6.9759,42.998000000000026,100,75,2.28,1611978488
20,22.2855,114.1577,62.99600000000005,64,0,1.79,1611978213
21,-34.7333,135.8667,67.47800000000007,57,22,6.89,1611977922
22,71.2906,-156.7887,-11.199999999999953,77,90,4.12,1611978093
23,-24.7911,-50.0119,62.58200000000002,95,100,1.38,1611977889
24,-34.5322,20.0403,62.00600000000003,90,93,0.45,1611977798
25,40.5982,-124.1573,48.00200000000008,76,90,5.14,1611978489
26,64.8945,-23.7142,28.85,98,100,8.24,1611978066
27,-38.0023,-57.5575,69.99800000000002,94,82,2.06,1611977783
28,-37.6167,-73.65,56.89400000000008,90,96,2.72,1611978012
29,-33.65,115.3333,82.00400000000005,45,0,2.68,1611977988
30,28.3667,129.4833,57.2,54,75,5.14,1611978490
31,-46.1927,168.8643,68.77400000000002,39,0,0.68,1611977794
32,50.5167,115.1333,-12.477999999999966,85,99,3.46,1611978491
33,71.9667,102.5,-43.185999999999964,75,1,1.4,1611978049
34,65.282,-126.8329,-34.59999999999995,74,40,1.03,1611978036
35,39.1834,-84.5333,26.6,63,75,2.57,1611978175
36,60.7333,77.5889,-43.59999999999995,73,0,1.36,1611978493
37,7.6244,-11.8332,74.24600000000005,93,1,1.0,1611978494
38,-25.9653,32.5892,78.00800000000001,88,40,1.03,1611978494
39,46.4333,26.4,41.0,58,100,2.09,1611978495
40,-21.2078,-159.775,82.4,74,75,3.6,1611977998
41,34.5686,105.8933,41.46800000000009,48,95,1.01,1611978496
42,-31.95,141.4333,84.2,34,16,7.2,1611978497
43,-22.116,14.2845,66.99199999999999,82,41,1.77,1611978497
44,-21.3585,55.7679,80.99600000000005,57,0,2.57,1611978011
45,60.1432,-45.2371,32.39600000000005,91,99,3.59,1611977880
46,-9.0122,-35.2225,77.32400000000001,82,100,3.92,1611978499
47,-33.9258,18.4232,69.99800000000002,94,75,1.54,1611977763
48,65.7,82.4667,-34.38399999999994,78,12,1.43,1611978500
49,-20.2333,164.0167,80.6,73,28,3.87,1611978500
50,-34.4187,19.2345,62.00600000000003,90,66,0.45,1611978002
51,19.9333,-105.25,74.19200000000001,46,7,1.72,1611978502
52,-15.7667,128.7333,78.80000000000001,100,75,3.6,1611977997
53,49.6835,-83.6665,-11.199999999999953,84,95,1.03,1611978502
54,66.5606,67.7975,-41.04399999999997,79,55,1.53,1611978502
55,38.421,-121.4238,46.99400000000007,87,1,2.06,1611977893
56,-53.15,-70.9167,46.4,81,40,9.26,1611977922
57,11.417,-7.479,67.87400000000002,22,0,2.03,1611978503
58,-15.1685,35.3,68.57600000000009,96,100,0.75,1611978503
59,17.0151,54.0924,69.80000000000001,64,75,2.06,1611978393
60,27.9769,-114.0611,59.81000000000009,73,3,6.86,1611978504
61,-17.7125,-39.2481,75.02000000000007,89,4,2.68,1611978504
62,60.4667,166.1,-1.4079999999999515,94,100,5.46,1611978076
63,69.4541,-133.0374,-36.39999999999995,67,1,1.03,1611977804
64,47.4235,-120.3103,37.004000000000055,88,100,0.78,1611978448
65,-3.8004,102.2655,86.88200000000002,58,95,1.76,1611977841
66,18.4167,-64.6167,77.0,83,38,1.79,1611978506
67,-41.8697,-73.8203,51.998000000000026,71,0,7.2,1611977852
68,-2.8833,-78.9833,59.0,94,94,3.6,1611978506
69,-17.8786,36.8883,77.32400000000001,89,92,0.61,1611978061
70,57.1281,73.8282,-5.763999999999982,88,100,3.36,1611978506
71,31.3525,27.2453,55.400000000000006,62,40,6.17,1611978507
72,34.74,60.7756,48.866000000000014,39,72,7.0,1611978507
73,-38.2667,141.9667,62.94199999999999,71,100,5.9,1611977853
74,-0.6136,-47.3561,80.43800000000005,80,92,5.71,1611978509
75,68.75,161.3,-35.049999999999955,83,4,1.0,1611977985
76,54.0359,19.0266,26.99600000000005,100,100,1.91,1611978019
