,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Blair,11.6667,92.75,82.83200000000002,68,0,4.84,IN,1612062480
1,Lorengau,-2.0226,147.2712,82.58000000000004,82,99,5.3,PG,1612062480
2,Ushuaia,-54.8,-68.3,46.4,71,20,3.09,AR,1612062480
3,Barrow,71.2906,-156.7887,-16.59999999999995,69,90,2.06,US,1612062481
4,Ngunguru,-35.6167,174.5,73.00400000000005,55,0,4.02,NZ,1612062481
5,Chui,-33.6971,-53.4616,68.342,93,100,6.97,UY,1612062481
6,Ciudad del Carmen,18.6333,-91.8333,74.44400000000007,77,93,3.89,MX,1612062193
7,Busselton,-33.65,115.3333,87.00800000000001,43,0,2.24,AU,1612062482
8,Nouadhibou,20.931,-17.0347,66.2,63,0,7.72,MR,1612062482
9,Rikitea,-23.1203,-134.9692,79.37600000000009,72,0,5.15,PF,1612062467
10,Henties Bay,-22.116,14.2845,66.99199999999999,84,50,1.79,NA,1612062482
11,Saint Paul Harbor,57.79,-152.4072,30.2,55,1,8.23,US,1612062483
12,Kidal,18.4411,1.4078,62.150000000000006,26,2,4.14,ML,1612062483
13,Vaini,-21.2,-175.2,84.2,84,75,5.14,TO,1612062483
14,Sur,22.5667,59.5289,65.44400000000007,51,0,0.33,OM,1612062463
15,Wichita Falls,33.9137,-98.4934,57.2,35,1,3.6,US,1612062294
16,Cedartown,34.0537,-85.255,44.00600000000003,70,2,0.45,US,1612062423
17,Kargasok,59.0556,80.8572,-22.305999999999976,85,100,5.08,RU,1612062485
18,Portland,45.5234,-122.6762,46.99400000000007,87,90,4.12,US,1612061731
19,Mahébourg,-20.4081,57.7,78.80000000000001,83,20,3.09,MU,1612062486
20,Zelenoborsk,61.4669,64.0333,-2.037999999999947,93,100,1.21,RU,1612062486
21,Cape Town,-33.9258,18.4232,68.0,82,75,3.6,ZA,1612062317
22,Airai,-8.9266,125.4092,63.69800000000002,100,100,2.84,TL,1612062487
23,Enshi,30.3,109.4833,48.88399999999999,79,100,0.43,CN,1612062487
24,Avarua,-21.2078,-159.775,84.2,70,75,2.06,CK,1612062488
25,Hualmay,-11.0964,-77.6139,70.75400000000005,77,96,3.45,PE,1612062489
26,Torbay,47.6666,-52.7314,28.994000000000074,100,90,4.12,CA,1612062490
27,Jiwani,25.05,61.7417,68.54000000000002,69,0,3.08,PK,1612062490
28,Chagoda,59.164,35.3285,18.194000000000074,97,95,2.93,RU,1612062491
29,São José da Coroa Grande,-8.8978,-35.1478,77.57600000000009,83,100,3.64,BR,1612062492
30,New Norfolk,-42.7826,147.0587,73.99400000000009,38,7,1.34,AU,1612062493
31,Punta Arenas,-53.15,-70.9167,48.2,71,0,7.2,CL,1612062494
32,Umuarama,-23.7664,-53.325,70.30400000000006,96,100,5.46,BR,1612062494
33,Midsalip,8.0,123.2667,75.95600000000003,77,98,2.69,PH,1612062494
34,Gorin,51.1983,136.6669,-10.263999999999982,87,69,3.68,RU,1612062496
35,Sukhobuzimskoye,56.5,93.2728,-39.99999999999996,74,0,0.96,RU,1612062496
36,Mar del Plata,-38.0023,-57.5575,60.998000000000026,51,0,8.23,AR,1612062491
37,Marsá Maţrūḩ,31.3525,27.2453,59.0,63,0,7.72,EG,1612062497
38,Mataura,-46.1927,168.8643,73.81400000000004,35,98,1.63,NZ,1612062498
39,George Town,5.4112,100.3354,82.4,57,20,4.12,MY,1612062350
40,Tabas,33.5959,56.9244,47.55200000000008,49,0,1.75,IR,1612062499
41,Jardim,-21.4803,-56.1381,76.11800000000008,85,2,3.01,BR,1612062500
42,Bredasdorp,-34.5322,20.0403,60.998000000000026,91,0,2.93,ZA,1612062500
43,Gao,16.6362,1.637,64.88600000000008,24,35,4.84,ML,1612062501
44,Salalah,17.0151,54.0924,66.2,68,75,1.03,OM,1612062501
45,Springfield,37.2153,-93.2982,50.0,87,90,8.23,US,1612062501
46,Bethel,41.3712,-73.414,17.00600000000003,68,0,3.04,US,1612062502
47,Tuktoyaktuk,69.4541,-133.0374,-34.59999999999995,67,40,2.06,CA,1612062502
48,Vigrestad,58.5667,5.7,28.994000000000074,93,75,1.03,NO,1612062502
49,Arraial do Cabo,-22.9661,-42.0278,76.65800000000002,83,5,11.52,BR,1612062338
50,Olafsvik,64.8945,-23.7142,23.054000000000052,89,23,7.38,IS,1612062470
51,Yerbogachën,61.2767,108.0108,-31.80999999999998,82,52,2.82,RU,1612062503
52,Hasaki,35.7333,140.8333,51.998000000000026,32,20,7.72,JP,1612062503
53,Vao,-22.6667,167.4833,76.29800000000003,79,86,9.46,NC,1612062503
54,Port Macquarie,-31.4333,152.9167,82.00400000000005,71,16,0.45,AU,1612062320
55,Skibbereen,51.55,-9.2667,41.0,93,75,6.69,IE,1612062504
56,Balkhash,46.844,74.9804,15.8,73,0,8.0,KZ,1612062504
57,Banamba,13.55,-7.45,65.55200000000008,24,4,4.1,ML,1612062504
58,Kruisfontein,-34.0033,24.7314,57.992,92,0,2.05,ZA,1612062504
59,Guerrero Negro,27.9769,-114.0611,59.54000000000002,71,64,5.49,MX,1612062505
60,Praia,14.9215,-23.5087,73.4,53,0,7.72,CV,1612062505
61,Yellowknife,62.456,-114.3525,-16.00599999999998,76,1,2.06,CA,1612062505
62,Laguna,38.421,-121.4238,53.99600000000005,76,1,2.79,US,1612062505
63,Bhawana,31.5692,72.649,50.288000000000046,41,0,1.87,PK,1612062506
64,San Patricio,28.017,-97.5169,68.0,94,1,5.14,US,1612062506
65,Ulverstone,-41.15,146.1667,69.99800000000002,67,92,2.24,AU,1612062506
66,Hithadhoo,-0.6,73.0833,81.78800000000004,79,10,6.25,MV,1612062506
67,Göksun,38.021,36.4973,33.8,100,75,7.2,TR,1612062506
68,Buchanan,5.8808,-10.0467,78.24199999999999,86,10,2.28,LR,1612062507
69,Khatanga,71.9667,102.5,-47.37999999999994,78,40,0.6,RU,1612062507
70,Mīnāb,27.1467,57.0801,61.82600000000009,85,4,1.03,IR,1612062507
71,Hilo,19.7297,-155.09,78.80000000000001,57,40,3.09,US,1612062507
72,Diapaga,12.0708,1.7889,69.87200000000004,21,16,3.62,BF,1612062492
73,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.2,47,100,9.0,RU,1612062508
74,Albany,42.6001,-73.9662,12.991999999999994,57,8,1.79,US,1612062009
75,Nizwá,22.9333,57.5333,56.24600000000005,59,0,1.08,OM,1612062508
76,Esperance,-33.8667,121.9,78.80000000000001,41,0,3.09,AU,1612062509
77,Hermanus,-34.4187,19.2345,60.998000000000026,91,1,3.95,ZA,1612062407
78,Kaeng Khoi,14.5862,100.9976,89.00600000000003,36,0,2.47,TH,1612062509
79,Bluff,-46.6,168.3333,58.13600000000007,73,99,5.11,NZ,1612062509
80,Palana,59.1167,159.9667,-5.97999999999994,91,68,8.03,RU,1612062510
81,Nikolskoye,59.7035,30.7861,24.8,93,75,2.0,RU,1612062510
82,Sinnamary,5.3833,-52.95,77.63000000000005,85,100,6.5,GF,1612062510
83,Gravdal,68.1214,13.5031,25.988000000000046,89,59,1.98,NO,1612062510
84,Puerto Ayora,-0.7393,-90.3518,78.00800000000001,89,48,3.13,EC,1612062511
85,Nieuw Amsterdam,5.8833,-55.0833,77.0,94,40,1.03,SR,1612062511
86,Arrondissement de Millau,44.0833,2.9167,48.992,93,90,5.14,FR,1612062511
87,Srednekolymsk,67.45,153.6833,-32.61999999999996,84,100,2.23,RU,1612062462
88,Muros,42.7762,-9.0603,55.004000000000055,91,100,2.68,ES,1612062511
89,Formosa,-26.1775,-58.1781,75.2,88,75,3.09,AR,1612062512
90,Angoche,-16.2325,39.9086,77.14400000000008,87,100,3.22,MZ,1612062512
91,Russell,32.3502,-85.1999,48.2,81,20,2.55,US,1612062512
92,Yarmouth,41.7057,-70.2286,21.002000000000077,49,75,2.06,US,1612062248
93,Tasiilaq,65.6145,-37.6368,17.6,45,40,2.06,GL,1612062512
